Environment_f,Location_f,Date,Water_Depth,D13C,sdD13C,OC,sdOC,PYC,sdPYC,LAM,sdLAM,SIG,sdSIG,S,sds,V,sdv,C,sdc,P,sdp,SV,sdsv,CV,sdcv,PVS,sdpvs,BDV,sdbdv,AAS,AAV
Beach,MD,2018-02-02,0,-27.035,0.02121320343559723,3.54,0.0707106781186545,4.665,0.12020815280171303,2.435,1.3788582233137678,8.66,5.06288455329568,1.6300000000000001,NA,0.66,NA,0.14,NA,0.30000000000000004,NA,2.35,NA,0.195,NA,0.15,NA,0.295,0.12020815280171307,0.27,0.42500000000000004
Beach,DD,2018-02-23,0,-25.98,0.4242640687119295,0.235,0.03535533905932739,0.555,0.3323401871576774,0.7,0.19798989873223324,0.16,0.028284271247461888,0.48,NA,0.20500000000000002,NA,0.02,NA,0.095,NA,2.34,NA,0.085,NA,0.15000000000000002,NA,0.41000000000000003,0.04949747468305833,0.235,0.355
Beach,DD,2018-04-24,0,-22.16,0.2687005768508899,0.10500000000000001,0.007071067811865472,0.4,0,0.045,0.021213203435596427,0.01,NA,0.05,NA,0.01,NA,0.02,NA,0.035,NA,8.29,NA,3.09,NA,3.115,NA,7.319999999999999,NA,NaN,NaN
Beach,CD,2018-04-24,0,-26.695,0.03535533905932537,2.7199999999999998,0.04242640687119289,3.86,0,1.64,0.014142135623730963,4.46,0.0424264068711932,1.0550000000000002,NA,0.45999999999999996,NA,0.125,NA,0.22,NA,2.29,NA,0.27,NA,0.15,NA,0.495,0.021213203435596406,0.53,0.29500000000000004
Beach,GBEA,2018-02-02,0,-23.255000000000003,0.47376154339498555,0.16999999999999998,0.05656854249492379,0.395,0.0636396103067893,0.12,0.0565685424949238,0.02,0.01414213562373095,0.09,NA,0.025,NA,0.01,NA,0.07,NA,4.43,NA,0.43,NA,0.72,NA,2.73,0.08485281374238562,0.345,1.13
Beach,GBEA,2018-02-23,0,-23.915,0.049497474683058526,0.14500000000000002,0.007071067811865462,0.425,0.021213203435596444,0.09,0.028284271247461894,0.01,0,0.075,NA,0.01,NA,NaN,NA,0.025,NA,7.62,NA,NaN,NA,0.305,NA,2.71,NA,0.31,NaN
Beach,GBEA,2018-04-24,0,-22.905,0.03535533905932788,0.125,0.04949747468305833,0.495,0.0636396103067893,0.08,NA,0.01,NA,0.06,NA,0.01,NA,NaN,NA,0.06,NA,4.58,NA,NaN,NA,0.76,NA,6.27,NA,NaN,NaN
Beach,GOSL,2018-02-02,0,-23.98,2.050609665440987,0.185,0.13435028842544405,0.30000000000000004,0.028284271247461888,0.48,NA,0.13,NA,0.37,NA,0.11,NA,NaN,NA,0.07,NA,3.26,NA,0.04,NA,0.14,NA,0.43,NA,0.17,0.29
Beach,GOSL,2018-02-23,0,-22.619999999999997,0.21213203435596475,0.11000000000000001,0.08485281374238571,0.32,0.056568542494923775,0.07,NA,0.01,NA,0.06,NA,NaN,NA,NaN,NA,0.02,NA,NaN,NA,NaN,NA,0.24,NA,6.24,NA,0.22,1.24
Beach,GOSL,2018-04-24,0,-22.555,0.34648232278140967,0.07,0,0.29000000000000004,0.042426406871192854,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NaN
Ocean,GOBW,2018-04-23,5,-22.875,0.5602677931132576,0.39749999999999996,0.0499165971062398,0.68,0.2467117075995111,0.3825,0.17114808402861736,0.15,0.05228129047119374,0.255,NA,0.10750000000000001,NA,0.02,NA,0.10500000000000001,NA,2.4274999999999998,NA,0.22,NA,0.2925,NA,0.99,0.06800735254367721,0.3725,0.3025
Ocean,GOBW,2018-04-23,10,-22.7925,0.704810849330041,0.4025,0.10874281585465775,0.94,0.4108527716834827,1.555,2.04283300019034,0.61,0.7432810146012521,1.1475,NA,0.365,NA,0.0425,NA,0.15,NA,2.445,NA,0.1575,NA,0.255,NA,0.505,0.10503967504392488,0.3275,0.22666666666666668
Ocean,GOBW,2018-04-23,20,-23.7975,0.3240756084619758,0.6175,0.05737304826019503,1.295,0.19958289839896945,1.81,1.0220567498920987,1.0825,0.5126646077115135,1.0925,NA,0.635,NA,0.08,NA,0.1725,NA,1.7625000000000002,NA,0.14,NA,0.1,NA,0.2725,0.04320493798938574,0.325,0.21
Ocean,GOBE,2018-04-23,10,-22.072499999999998,0.3962638010214916,0.215,0.06137317546507322,0.515,0.12233832869001711,0.5825,0.12841988423397158,0.13,0.05597618541248888,0.39,NA,0.1625,NA,0.034999999999999996,NA,0.11750000000000001,NA,2.5425,NA,0.2225,NA,0.22,NA,0.5575,0.034034296427770235,0.3125,0.2725
Ocean,GOBE,2018-04-23,20,-23.105,0.5663038053907116,0.365,0.0695221787153807,0.6825,0.13720422734012244,0.9925,0.4151606114907017,0.365,0.16663332999933314,0.585,NA,0.36,NA,0.05,NA,0.2075,NA,1.81,NA,0.1525,NA,0.25,NA,0.3625,0.012909944487358053,0.3275,0.235
